basename,dice
TCGA_HT_7856_19950831_26,0.933176
TCGA_DU_5874_19950510_26,0.720421
TCGA_CS_5397_20010315_12,0.002525
TCGA_HT_A61A_20000127_20,1.000000
TCGA_DU_7299_19910417_27,0.002375
TCGA_DU_7019_19940908_2,1.000000
TCGA_DU_7014_19860618_40,0.940395
TCGA_DU_6401_19831001_37,0.930535
TCGA_HT_A616_19991226_14,0.834498
TCGA_DU_5872_19950223_52,0.837808
TCGA_HT_7881_19981015_59,1.000000
TCGA_HT_A61A_20000127_15,1.000000
TCGA_FG_A60K_20040224_14,1.000000
TCGA_DU_5855_19951217_15,0.926721
TCGA_HT_7605_19950916_32,1.000000
TCGA_EZ_7264_20010816_18,0.916412
TCGA_CS_6290_20000917_18,1.000000
TCGA_CS_6186_20000601_19,0.393696
TCGA_DU_5871_19941206_2,1.000000
TCGA_DU_7014_19860618_17,1.000000
